id,created_at,type,consumption_date_year,consumption_date_month,consumption_id,start_date,end_date,report_year,updated_at,domain_id,consumer_id,consumer_type,country_id,currency_id,location_type_id,fleet,main_engine_type,vehicle_type_id,fuel_type_id,ghg_protocol_scope,consumption_date_qtr,consumption_date_yq,consumption_date_ym,base_monthly_consumption,base_monthly_cost,monthly_consumption,monthly_cost,monthly_nb_employee,monthly_area
1,4/3/9428 22:54:52,electric,11,75,43,12/16/6593,7/3/4937,10,11/14/8983 17:29:31,30,30,varchar(255),45,31,73,varchar(255),all-wheel drive,4,67,62,18,88,65,87694,13962,10663,112,11.17,Bukit Batok
2,2/19/3195 20:18:21,diesel,86,46,34,12/23/2440,10/20/5663,45,1/24/1981 11:58:33,62,47,varchar(255),89,15,5,varchar(255),front-wheel drive,4,41,83,88,68,69,21866,3505,2807,16035,7.01,Ang Mo Kio
3,9/10/8292 10:05:12,electric,9,17,86,9/13/5875,12/17/9293,28,2/13/7471 15:34:38,39,77,varchar(255),42,60,62,varchar(255),rear-wheel drive,61,9,57,64,5,53,61865,8437,20889,1269,18.05,Bukit Batok
4,3/17/8037 04:23:09,electric,19,18,50,11/22/2267,8/28/7828,98,7/28/5572 03:47:13,60,59,varchar(255),91,8,49,varchar(255),rear-wheel drive,46,50,75,71,44,62,78301,18103,50053,19063,54.63,Woodlands
5,1/24/9385 11:03:14,gasoline,89,38,91,11/19/3359,4/25/7554,89,7/12/7016 04:02:00,3,20,varchar(255),17,99,76,varchar(255),all-wheel drive,8,62,28,27,95,70,32614,19112,38505,12222,70.48,Pasir Ris
6,11/29/4289 23:38:24,hybrid,17,58,44,7/3/8142,8/6/1977,85,2/18/9971 07:47:16,73,30,varchar(255),45,36,90,varchar(255),rear-wheel drive,4,78,29,14,30,17,41554,1028,13389,1419,19.49,Hougang
7,9/28/2473 14:45:22,electric,75,49,96,11/15/2335,4/13/7774,4,7/23/9230 16:32:38,94,86,varchar(255),28,99,99,varchar(255),rear-wheel drive,70,31,38,79,68,22,49687,13431,6644,5524,65.24,Hougang
8,5/6/1956 20:19:43,hybrid,66,59,37,12/18/5733,5/23/7799,61,1/11/9350 21:29:48,14,63,varchar(255),62,81,27,varchar(255),all-wheel drive,1,32,23,5,76,29,78047,9752,73937,2035,44.29,Jurong West
9,9/9/6239 01:26:51,hybrid,29,72,28,7/1/3807,9/28/6319,17,4/10/9905 05:42:25,20,79,varchar(255),16,37,22,varchar(255),four-wheel drive,50,74,68,41,28,71,59297,8905,62056,7645,32.17,Queenstown
10,11/15/4252 22:35:47,diesel,97,26,68,3/7/8299,3/21/5494,79,11/13/5251 16:24:12,60,22,varchar(255),48,4,74,varchar(255),all-wheel drive,59,62,16,23,46,62,52923,11778,97039,6425,36.86,Woodlands
11,8/15/7742 21:36:37,hybrid,22,10,51,8/25/1900,8/25/9911,31,11/27/4130 09:55:44,75,37,varchar(255),85,20,15,varchar(255),rear-wheel drive,36,16,96,63,21,6,56782,18528,90014,2545,61.0,Yishun
12,10/16/5753 12:43:56,electric,91,71,74,3/11/6462,6/26/5396,8,4/13/5670 05:53:55,65,67,varchar(255),100,31,8,varchar(255),rear-wheel drive,46,52,35,83,72,21,17085,19647,45836,15406,23.09,Singapore City
13,2/20/5248 20:19:24,diesel,21,1,74,7/15/5180,9/18/2325,64,12/28/4501 13:39:18,22,70,varchar(255),97,47,74,varchar(255),front-wheel drive,49,34,68,10,74,9,71410,6395,88964,10393,52.59,Yishun
14,7/27/9563 08:45:06,gasoline,95,80,80,9/24/5283,1/3/9795,91,6/28/5104 04:55:20,71,15,varchar(255),70,91,71,varchar(255),all-wheel drive,56,80,18,88,98,9,5388,14757,41314,2886,51.55,Punggol
15,5/10/4870 04:17:30,electric,68,87,56,8/16/2300,12/3/5545,21,5/29/2276 01:07:08,19,72,varchar(255),85,95,91,varchar(255),front-wheel drive,50,60,28,60,67,24,55759,9662,68533,2244,41.36,Yishun
16,11/26/2829 23:49:15,hybrid,9,49,19,5/19/4232,2/25/8909,98,9/25/2311 04:04:03,82,92,varchar(255),8,95,72,varchar(255),four-wheel drive,69,31,32,100,45,18,46693,14509,86121,7106,58.48,Pasir Ris
17,8/21/2033 10:22:34,diesel,22,63,74,10/14/4421,1/15/9124,32,4/23/5709 09:16:36,48,83,varchar(255),61,42,16,varchar(255),front-wheel drive,37,49,77,81,5,82,90096,9505,24286,8982,60.62,Singapore City
