id,created_at,type,consumption_date_year,consumption_date_month,consumption_id,start_date,end_date,report_year,updated_at,domain_id,consumer_id,consumer_type,country_id,currency_id,location_type_id,fleet,main_engine_type,vehicle_type_id,fuel_type_id,ghg_protocol_scope,consumption_date_qtr,consumption_date_yq,consumption_date_ym,base_monthly_consumption,base_monthly_cost,monthly_consumption,monthly_cost,monthly_nb_employee,monthly_area
1,12/29/2003 11:18:49,gasoline,26,67,82,9/29/2018,3/31/2000,85,2/9/2018 22:47:32,13,70,varchar(255),6,8,2,varchar(255),front-wheel drive,45,45,8,85,16,6,90962,6174,71346,18888,34.75,Europe Regional
2,1/22/2003 01:38:56,hybrid,54,77,42,6/5/2006,2/11/2020,23,4/22/2020 23:35:16,57,11,varchar(255),11,76,47,varchar(255),front-wheel drive,24,57,40,31,68,71,90287,19806,67745,374,90.77,North America Office
3,12/30/2023 20:47:21,gasoline,89,4,46,1/21/2007,4/9/2020,21,7/18/2000 01:59:40,63,87,varchar(255),12,81,9,varchar(255),rear-wheel drive,68,25,23,73,72,40,17847,16405,74488,6610,79.14,GHG Emission
4,6/23/2016 04:01:38,electric,83,56,51,10/28/2003,1/7/2015,43,6/17/2012 21:39:53,47,42,varchar(255),3,5,1,varchar(255),rear-wheel drive,58,84,56,16,72,42,28754,8339,27564,16028,49.13,SEA Regional Office
5,5/2/2020 18:35:33,electric,85,94,71,5/26/2022,2/25/2022,19,9/26/2005 21:06:41,36,74,varchar(255),3,1,80,varchar(255),four-wheel drive,78,65,33,81,39,40,38040,13981,21824,5147,78.94,GHG Emission
6,8/30/2013 04:56:19,hybrid,56,8,99,2/9/2019,2/9/2005,31,1/29/2007 21:38:06,94,3,varchar(255),1,19,71,varchar(255),rear-wheel drive,7,51,96,70,58,43,23430,4700,67255,15717,49.03,SEA Regional Office
7,8/27/2023 10:50:27,hybrid,20,55,82,1/25/2013,7/30/2005,87,10/4/2005 18:40:13,4,45,varchar(255),1,82,33,varchar(255),front-wheel drive,14,82,78,23,70,73,21739,2446,16510,14373,57.16,Asia Regional Office
8,2/6/2006 16:45:19,electric,42,92,42,5/24/2000,11/17/2004,69,1/1/2009 02:03:52,7,39,varchar(255),4,10,64,varchar(255),all-wheel drive,17,30,61,31,3,44,60912,478,40718,19288,5.73,Europe Regional
9,9/6/2020 17:17:07,electric,92,87,41,4/9/2004,7/25/2006,52,5/28/2016 21:46:48,26,72,varchar(255),3,29,39,varchar(255),rear-wheel drive,66,78,85,66,50,49,40509,2454,48276,15892,69.28,North America Office
10,4/6/2010 20:54:04,hybrid,66,31,72,6/29/2015,6/2/2019,67,12/10/2016 02:48:31,52,25,varchar(255),2,48,98,varchar(255),four-wheel drive,33,76,14,59,86,14,48701,5419,77021,14131,58.37,North America Office
11,9/7/2010 16:45:19,diesel,12,74,34,2/4/2008,6/19/2017,31,2/5/2013 01:18:11,54,52,varchar(255),3,23,21,varchar(255),rear-wheel drive,57,38,98,19,13,34,75469,12259,19904,1217,27.22,GHG Emission
12,9/15/2022 12:58:36,gasoline,63,18,43,3/28/2013,9/17/2016,55,4/7/2009 12:17:15,46,85,varchar(255),12,75,60,varchar(255),rear-wheel drive,30,74,35,67,20,94,38432,2340,16203,5888,55.78,Asia Regional Office
13,10/6/2005 09:26:50,diesel,96,70,97,5/30/2023,6/17/2022,40,3/19/2012 14:33:55,65,16,varchar(255),11,79,1,varchar(255),all-wheel drive,26,32,31,89,15,44,39322,1554,46778,14712,63.81,SEA Regional Office
14,11/18/2010 06:41:03,hybrid,93,99,20,7/16/2002,10/23/2018,69,5/10/2023 11:30:46,5,20,varchar(255),8,30,17,varchar(255),front-wheel drive,93,9,99,69,18,56,46801,16420,63702,11950,17.59,GHG Emission
15,2/17/2016 17:46:16,hybrid,6,66,88,9/19/2000,4/28/2003,85,11/27/2021 16:57:05,38,5,varchar(255),14,46,21,varchar(255),four-wheel drive,57,94,20,34,26,37,57878,16115,58943,4359,9.71,GHG Emission
16,1/11/2002 17:12:18,gasoline,56,34,23,10/1/2008,6/15/2003,18,2/20/2007 13:34:46,51,100,varchar(255),7,83,27,varchar(255),rear-wheel drive,37,17,32,29,64,98,84335,16603,94613,12794,24.38,SEA Regional Office
17,5/25/2011 00:35:00,electric,39,83,98,12/7/2005,9/30/2002,27,2/10/2021 14:34:29,12,45,varchar(255),10,47,49,varchar(255),four-wheel drive,35,30,46,7,99,20,9801,10745,27866,15110,4.58,GHG Emission
18,8/27/2004 12:15:26,gasoline,41,47,25,10/9/2012,8/28/2005,95,10/2/2020 08:34:23,53,97,varchar(255),10,62,75,varchar(255),all-wheel drive,61,24,89,30,55,33,7078,18411,43238,4810,55.51,North America Office
19,7/14/2016 04:06:15,gasoline,81,85,88,7/27/2010,5/1/2004,92,6/14/2017 23:16:53,52,12,varchar(255),2,27,50,varchar(255),all-wheel drive,2,21,17,30,91,91,37775,13140,77703,11916,93.98,Europe Regional
20,6/10/2017 10:37:18,gasoline,80,2,40,11/22/2009,5/13/2001,22,1/25/2018 02:51:32,27,48,varchar(255),2,40,97,varchar(255),front-wheel drive,99,35,32,26,54,59,21527,19102,43116,14732,68.02,North America Office
21,8/4/2021 05:39:44,diesel,83,36,56,2/16/2023,2/25/2014,9,3/4/2000 12:26:22,81,13,varchar(255),10,57,86,varchar(255),four-wheel drive,7,54,32,49,2,19,9671,4341,80316,11990,1.85,Asia Regional Office
22,11/15/2003 08:17:38,hybrid,57,58,40,6/10/2006,9/21/2016,62,10/31/2000 05:36:54,62,62,varchar(255),4,50,100,varchar(255),rear-wheel drive,55,33,81,47,45,20,21126,10748,18573,18724,10.01,Europe Regional
23,2/22/2016 16:33:19,diesel,64,83,45,9/13/2005,5/30/2017,25,2/2/2007 03:39:35,34,37,varchar(255),3,26,88,varchar(255),four-wheel drive,79,68,53,16,9,93,57301,15158,97567,3886,41.04,GHG Emission
24,3/8/2011 08:38:44,diesel,12,100,81,2/26/2017,12/15/2018,87,4/18/2009 14:58:23,72,33,varchar(255),10,84,64,varchar(255),front-wheel drive,67,43,22,43,38,51,76026,6168,19457,13598,9.13,Europe Regional
25,11/14/2023 11:09:32,hybrid,78,93,51,10/10/2008,6/3/2019,2,6/10/2008 20:13:50,46,51,varchar(255),2,18,69,varchar(255),front-wheel drive,16,72,88,50,1,44,31371,12763,5119,15657,4.81,SEA Regional Office
26,2/24/2013 16:57:14,gasoline,2,94,22,9/24/2001,8/29/2006,35,1/19/2020 13:56:39,66,98,varchar(255),15,28,33,varchar(255),front-wheel drive,2,3,77,32,85,35,83316,2256,59832,1942,7.36,SEA Regional Office
27,12/5/2000 15:34:01,diesel,35,71,12,6/14/2007,12/18/2016,33,4/20/2008 22:25:57,10,52,varchar(255),2,64,73,varchar(255),front-wheel drive,8,65,49,70,99,77,62760,19797,16205,17310,52.05,GHG Emission
28,5/18/2021 17:07:08,diesel,2,91,48,12/2/2022,3/21/2017,32,8/14/2006 01:57:54,31,57,varchar(255),9,88,52,varchar(255),all-wheel drive,91,60,23,72,76,56,6956,18899,1513,12929,60.83,Europe Regional
29,6/29/2021 14:48:35,diesel,22,90,5,3/22/2019,12/27/2001,34,6/25/2022 02:37:56,17,12,varchar(255),4,69,10,varchar(255),front-wheel drive,28,30,14,50,31,88,90675,1005,9311,17623,63.98,SEA Regional Office
30,5/25/2019 14:23:12,diesel,85,58,85,9/3/2020,12/21/2021,34,11/5/2020 05:29:00,53,89,varchar(255),13,67,18,varchar(255),rear-wheel drive,35,63,91,11,1,31,24659,12813,54829,10654,92.62,North America Office
31,7/30/2002 01:13:41,hybrid,78,63,19,10/28/2018,5/6/2017,83,7/24/2020 14:42:20,45,46,varchar(255),13,37,9,varchar(255),front-wheel drive,77,92,62,86,7,81,92158,12286,85956,11472,31.21,North America Office
32,7/14/2019 04:20:46,gasoline,62,50,20,10/22/2021,7/21/2022,70,10/30/2017 13:04:49,64,74,varchar(255),1,82,19,varchar(255),all-wheel drive,63,1,77,96,65,65,94098,2776,80987,7071,59.51,Asia Regional Office
33,8/18/2013 14:44:12,hybrid,77,82,85,7/25/2014,8/13/2016,60,1/18/2000 06:24:20,87,78,varchar(255),4,29,32,varchar(255),four-wheel drive,41,1,93,68,71,85,6026,8622,36257,8608,10.04,SEA Regional Office
34,8/17/2000 11:08:16,hybrid,31,84,2,2/20/2011,11/1/2014,1,10/30/2003 17:55:59,2,74,varchar(255),13,31,65,varchar(255),front-wheel drive,20,91,49,52,18,92,43714,17693,80872,1861,79.19,Europe Regional
35,3/8/2021 00:00:09,diesel,32,87,54,5/4/2004,7/18/2014,34,4/7/2018 22:28:19,8,93,varchar(255),9,47,77,varchar(255),front-wheel drive,51,95,51,88,33,59,4807,1801,47484,5329,39.35,North America Office
36,12/19/2007 03:48:09,electric,46,59,55,6/25/2015,9/2/2009,10,10/30/2006 15:03:11,100,42,varchar(255),14,55,10,varchar(255),front-wheel drive,100,24,100,9,16,29,77226,8382,39088,19121,3.63,Asia Regional Office
37,7/24/2007 17:01:15,hybrid,18,66,15,11/14/2002,4/3/2009,98,7/27/2019 19:22:42,5,2,varchar(255),11,81,9,varchar(255),four-wheel drive,87,27,39,37,41,46,84392,1364,20607,1515,3.72,SEA Regional Office
38,10/13/2004 05:57:17,diesel,100,76,19,1/22/2018,10/17/2007,43,9/13/2016 22:49:40,10,22,varchar(255),14,1,36,varchar(255),front-wheel drive,53,42,97,68,66,98,18715,14754,90842,12531,33.57,SEA Regional Office
39,9/15/2009 05:47:15,hybrid,82,70,51,9/17/2013,9/22/2003,20,10/2/2003 14:49:19,26,94,varchar(255),2,49,40,varchar(255),four-wheel drive,18,50,3,38,62,97,54182,18247,23620,1651,58.24,Europe Regional
40,8/12/2023 16:23:05,gasoline,58,31,54,6/26/2009,10/3/2019,2,4/1/2002 02:17:59,38,98,varchar(255),2,68,16,varchar(255),front-wheel drive,62,97,97,86,87,1,29870,5653,61369,6822,74.31,North America Office
41,6/13/2002 09:09:18,electric,24,64,55,12/15/2015,11/14/2016,27,12/25/2011 02:54:18,36,78,varchar(255),3,30,82,varchar(255),front-wheel drive,58,38,92,16,96,10,32869,4936,95662,8738,86.15,Asia Regional Office
42,3/26/2023 03:43:37,diesel,70,40,58,2/6/2019,11/8/2002,7,2/24/2005 03:35:36,82,24,varchar(255),4,48,48,varchar(255),front-wheel drive,43,43,64,53,54,9,71554,17581,5752,18263,92.6,Asia Regional Office
43,10/25/2008 07:10:40,hybrid,89,57,72,2/9/2018,1/18/2004,56,7/15/2002 04:49:15,61,88,varchar(255),2,92,78,varchar(255),rear-wheel drive,57,94,9,30,17,47,69417,4401,93170,18191,7.9,Europe Regional
44,6/21/2021 23:54:33,gasoline,40,2,53,11/19/2009,8/7/2011,60,9/24/2002 11:57:57,20,87,varchar(255),8,90,79,varchar(255),four-wheel drive,97,96,87,39,42,34,76931,6993,13534,12006,3.44,Europe Regional
45,10/29/2019 09:34:00,diesel,10,8,54,3/24/2010,10/3/2021,27,9/18/2017 19:53:52,59,54,varchar(255),15,16,48,varchar(255),rear-wheel drive,41,59,48,1,45,21,39180,18626,31014,11775,15.65,Europe Regional
46,10/14/2010 18:09:15,electric,37,63,86,7/28/2016,7/5/2010,54,9/25/2001 07:20:54,27,51,varchar(255),9,8,84,varchar(255),four-wheel drive,96,98,80,20,90,44,86127,4447,49527,8206,99.81,SEA Regional Office
